latitude,longitude
33.9428,-118.4100
40.6413,-73.7781
41.9786,-87.9048
33.6407,-84.4277
32.7336,-117.1933
29.9902,-95.3368
39.8617,-104.6731
25.7959,-80.2870
47.4502,-122.3088
36.0801,-115.1522
33.4367,-112.0078
44.8848,-93.2223
39.1754,-76.6684
37.6213,-122.3790
38.9444,-77.4558
36.1263,-86.6774
39.9980,-82.8919
30.1975,-97.6664
39.2996,-94.7139
41.4117,-81.8498
32.8968,-97.0380
27.9755,-82.5332
42.3656,-71.0096
40.4915,-80.2329
39.7259,-75.4474
30.4734,-87.1866
35.2140,-80.9431
32.3112,-90.0756
43.5644,-116.2230
44.8783,-93.2289
43.1112,-77.6720
35.0402,-106.6092
30.4919,-91.1508
33.9781,-81.1195
44.8076,-68.8281
45.5887,-122.5975
35.2140,-80.9431
41.9389,-72.6832
46.9194,-98.0037
41.1533,-104.8132
39.2987,-94.7164
38.1897,-85.7426
47.4490,-122.3088
46.7972,-92.0953
40.1924,-76.7634
41.2843,-72.8960
35.1403,-90.0520
47.6217,-117.5260
39.0488,-76.7129
44.882,-93.2216
33.6757,-117.8682
42.2124,-83.3534
