state,count
California,783
Florida,340
Arizona,305
Washington,276
Texas,275
New York,240
Pennsylvania,197
Illinois,196
Ohio,170
Oregon,151
North Carolina,140
Michigan,135
Missouri,128
New Jersey,118
Georgia,109
Massachusetts,109
Colorado,109
Virginia,108
Tennessee,100
Indiana,95
Wisconsin,95
South Carolina,88
Connecticut,80
Nevada,73
Maryland,72
Maine,71
Kentucky,71
New Mexico,69
Minnesota,66
Oklahoma,59
Alabama,57
Arkansas,56
Utah,53
Louisiana,51
New Hampshire,50
Kansas,46
Hawaii,45
Vermont,41
Iowa,35
Mississippi,33
Montana,32
Idaho,30
Rhode Island,27
West Virginia,24
Nebraska,22
Alaska,19
Delaware,17
Wyoming,13
South Dakota,7
North Dakota,7
