state,count
Alabama,643
Alaska,319
Arizona,2414
Arkansas,588
California,8912
Colorado,1413
Connecticut,892
Delaware,166
Florida,3835
Georgia,1255
Hawaii,262
Idaho,521
Illinois,2499
Indiana,1288
Iowa,678
Kansas,613
Kentucky,855
Louisiana,559
Maine,558
Maryland,837
Massachusetts,1256
Michigan,1836
Minnesota,1012
Mississippi,376
Missouri,1458
Montana,478
Nebraska,381
Nevada,803
New Hampshire,486
New Jersey,1255
New Mexico,720
New York,2980
North Carolina,1741
North Dakota,129
Ohio,2276
Oklahoma,724
Oregon,1747
Pennsylvania,2366
Rhode Island,229
South Carolina,1003
South Dakota,183
Tennessee,1120
Texas,3447
Utah,622
Vermont,260
Virginia,1273
Washington,3968
West Virginia,449
Wisconsin,1232
Wyoming,175
